total_objects,productive_count,distracting_count,neutral_count,productive_ratio,distracting_ratio,focused_score,avg_object_area,total_area_coverage,avg_confidence,clutter_score,has_laptop,has_phone,has_book,has_person,label
4,2,0,2,0.8118764001091077,0.1790550473839461,0.46749965171215474,0.05999749158180029,0.23777466758976018,0.7001125833417066,0.12857336358438815,1,0,1,1,1
3,2,0,1,0.7099025726528951,0.12958350559263473,0.3747374841188252,0.11118528947223794,0.14184815819561256,0.6876433945605654,0.17327236865873835,1,1,0,1,1
5,2,0,0,0.7430179407605754,0.051157237106187456,0.23903095579116773,0.14488855372533332,0.3896896099223679,0.8425192044349383,0.16092275383467414,0,0,1,0,1
2,4,0,1,0.6564242430292964,0.0546708263364187,0.6532168461905916,0.09251558744912447,0.16238249886045666,0.7703100983459974,0.10626265849111172,1,0,1,1,1
4,4,1,1,0.578393144967658,0.01356818667316142,0.39519819845795867,0.0888677289689482,0.1814047095321688,0.8486212527455788,0.17135066533871784,1,0,0,1,1
2,2,0,0,0.808897907718663,0.059614704460251716,0.20331327027416146,0.1315461428454834,0.3120572031542852,0.8187021504122962,0.25425406933718914,0,0,0,1,1
5,3,0,2,0.6243929286862648,0.09755499660802411,0.6377637070028386,0.1137557471355213,0.36616382277289805,0.7416644775485848,0.12391884918766034,1,1,1,1,1
4,4,0,2,0.6710164073434198,0.007625738023228556,0.2647348561959827,0.053142918568673425,0.2909231233791342,0.694306794322898,0.20171413823294054,1,0,1,1,1
5,2,1,2,0.6159005811655072,0.04836638617620132,0.757818591405544,0.1308120379564417,0.2900211269531271,0.8614381770563153,0.2607344153798229,0,1,1,1,1
5,2,0,1,0.5440207698110707,0.0683805487625825,0.4562646731757538,0.1318014765922493,0.35821917497690303,0.6020856391593572,0.20214946051551314,1,0,0,0,1
4,4,1,0,0.6615344684232163,0.019467674132694467,0.3523492483606069,0.07468760628386012,0.30889128185193654,0.8136811769773327,0.12961738599067998,1,0,1,1,1
4,2,1,0,0.7537405378805455,0.20421163546643004,0.5185607499902819,0.09477831645730916,0.2658679267213984,0.7778090171638181,0.11617066526654306,1,0,1,1,1
3,3,1,2,0.8265727492877536,0.23950353749536532,0.2904305263792577,0.10081987767407186,0.30874384203726457,0.857507641444116,0.16519178104037696,1,1,1,0,1
4,2,0,2,0.8746919954946939,0.04125628324379797,0.40463981063015514,0.06134735212405891,0.37740808548356886,0.8632018060142943,0.15158832554303112,1,1,1,1,1
3,2,1,1,0.8588863031813307,0.2701254171489991,0.5798608743639608,0.08390297910487007,0.20476287238379828,0.8177867036610718,0.2794220519905154,1,1,1,0,1
5,3,1,1,0.5036788206466518,0.03044146285980963,0.5981010614648335,0.05050615838462187,0.1482424154252496,0.7646201368099759,0.23837903953853865,1,0,1,0,1
2,4,0,0,0.6232243167409557,0.1627620691664698,0.5052884461032561,0.11363326181858953,0.17513854558167524,0.7769612542681632,0.29577857165500177,1,1,1,0,1
2,4,1,0,0.5780971951192178,0.2167356345784516,0.3684634174645135,0.05243159664314539,0.29364168877215036,0.6531332038221147,0.2880917168705829,1,1,1,0,1
5,2,0,1,0.8866619276174679,0.28908599312677585,0.7118056732804161,0.07944488920695857,0.2155293185805776,0.8553410014550571,0.16338440103125554,0,0,1,1,1
5,3,1,1,0.7460028906796679,0.297016155031279,0.28405040914191443,0.10183296523637367,0.36321192157838667,0.8222305853262614,0.2394031481990536,1,0,0,1,1
4,3,0,0,0.5326376721600962,0.0015554588321960328,0.5767366489691816,0.06942739535120422,0.12128227509997831,0.7190351481641665,0.1101537062078794,1,0,1,1,1
4,3,0,0,0.5620166466910976,0.2945522664931593,0.7033601012416182,0.13604046183116753,0.17507540815475925,0.611650420328827,0.16065310293464458,1,0,1,0,1
5,2,0,1,0.5206726884674431,0.1594063894704444,0.524381072966064,0.11374299014982066,0.3178274001167985,0.8927556238387604,0.20326006966023907,1,1,0,1,1
4,3,0,1,0.8850593658711701,0.25079403615366175,0.6175845236562189,0.090895294441427,0.15198829602125374,0.6469311128013258,0.15004857963291907,1,1,1,0,1
5,2,0,2,0.6742691594711564,0.21901179496854556,0.22862967661498929,0.10660372104940763,0.1475939342927473,0.6360493943416926,0.16837593334328033,0,0,1,1,1
2,3,1,0,0.6893887083122263,0.051960560973004555,0.4603109895427839,0.08985047343973734,0.284755029415665,0.7905280952602931,0.10906080195440891,1,0,1,1,1
2,2,1,2,0.877700638850067,0.26015968006650114,0.5818421584676068,0.13009492946823997,0.3031505027148945,0.77201011250158,0.12570007064678204,1,1,1,1,1
5,3,0,0,0.5277445203500661,0.030233400413227994,0.21093309539092986,0.059444296075592845,0.30490203202490707,0.6213565945380687,0.16379512605875227,1,0,1,0,1
5,3,0,1,0.7515771387119536,0.26324160405811586,0.6410426262823316,0.13034809303848485,0.18461037177139195,0.6532318631339168,0.25012295032817167,1,1,1,0,1
4,4,1,0,0.595438743916136,0.20395343397007373,0.6439452562684248,0.07382361524039795,0.21331866585288847,0.7602982420591691,0.19931223813661553,1,0,0,0,1
2,2,0,0,0.627725455036166,0.28501859011524144,0.7703642881625337,0.10734378881232862,0.2895511636509398,0.7345336565934959,0.1586421543396129,1,0,1,1,1
2,4,0,0,0.6977681218810325,0.017267628004993284,0.5297173293942414,0.0941530501373377,0.36631125482748994,0.7052745037656236,0.12341340328552118,0,1,1,0,1
4,3,0,1,0.6586606407817007,0.267569072633033,0.2879628930152153,0.10133261686923928,0.16996842172735838,0.7743916251680347,0.27262770439780076,1,0,1,1,1
5,3,1,2,0.6926667951856461,0.11339627703667633,0.623050618577996,0.07487241544302879,0.19907575870572958,0.7303355533464814,0.15073643477462775,1,0,1,1,1
4,2,0,0,0.7724157708387636,0.07125194138774098,0.44013373572321496,0.09777148908802277,0.12486739650800628,0.7585110363891627,0.18726716632131118,1,1,1,0,1
5,3,0,2,0.8676462861114638,0.07589705039677233,0.6172466738639886,0.05754345470897693,0.14986462957277588,0.6650427319759473,0.15889878936788598,1,0,1,1,1
4,3,1,1,0.6822627011142852,0.186039779340461,0.36642870978867964,0.06881211597237613,0.23910952148199469,0.7060056684078159,0.2167312223701744,0,1,1,1,1
2,2,0,0,0.8255180078827795,0.20541935176616377,0.2975701636069348,0.14109271844938426,0.34676117287695074,0.8849399739875772,0.245143901677672,1,0,1,1,1
2,2,0,0,0.8110409134940902,0.1441110245599064,0.7911716303993026,0.08767389699379408,0.3248734899928216,0.7178968346936577,0.26583284414130287,1,0,0,0,1
2,4,1,0,0.7137385100117852,0.22497322484099155,0.7478994513545858,0.1085149532325472,0.31783625322155445,0.8271243606127368,0.17557010985515728,1,0,0,0,1
5,3,0,0,0.8027996528688914,0.014068940337365976,0.3612034892151844,0.05221847420303016,0.24944955599376792,0.7428632090367042,0.26627429801250024,1,1,1,0,1
4,2,0,2,0.5115130705253356,0.22654117670208568,0.5721857308120788,0.12040797680992235,0.16388924845267322,0.640911442676031,0.1029089331335764,1,0,1,1,1
4,3,1,0,0.7055957956639243,0.2350959038223429,0.4379256693927621,0.11220867002278734,0.3587091126240236,0.8848561870972926,0.1294146961858076,1,0,0,1,1
3,3,0,1,0.6315006441150033,0.19002025629501773,0.3440873712669159,0.05758633281086639,0.13866391657319477,0.6384137516873317,0.13038053870245886,0,0,0,0,1
4,4,0,0,0.8892441397080417,0.18058061866228806,0.3343094395437924,0.13217906368444493,0.20352478834671606,0.704285764344805,0.10636093629703303,1,0,1,1,1
2,3,1,0,0.6286331058720116,0.027687175868623824,0.488687236433776,0.1187784717096083,0.25349710406417836,0.647093304814858,0.1754571930484145,0,1,0,1,1
5,4,0,2,0.8696167036429733,0.07083495993522129,0.6559732453625515,0.1031265753973534,0.31615481841743953,0.6187024087533725,0.12954781838124535,0,0,1,1,1
5,2,1,1,0.6416586683172502,0.11914914975122474,0.26292149991948854,0.12374052060938191,0.15468516354278744,0.769189527605651,0.2681419971755862,0,0,0,0,1
2,3,0,0,0.6993768795716229,0.026076086426227107,0.5222639250911287,0.10868411180208791,0.32363184225529906,0.7294978638689038,0.12551606055911274,1,0,1,1,1
5,4,0,1,0.7423099277427548,0.07116803752079834,0.26106948357224224,0.0652859139184332,0.17378731851535245,0.6482044119778667,0.13731340481026116,1,0,1,0,1
4,4,1,0,0.8929514467634425,0.033611670650415704,0.43871335942744505,0.14694704332753689,0.35965213776819416,0.845121621284784,0.15158056540898796,0,0,1,1,1
5,3,0,0,0.8077971732767748,0.05611312456725701,0.39420754184254625,0.09254364386164168,0.2522831136053365,0.672722919724524,0.12296736494784072,1,0,1,0,1
5,2,0,2,0.5207294147289707,0.10098128345817617,0.28064880616338456,0.05633749704727678,0.39698806971698364,0.6967061534924168,0.26197488917092693,1,0,1,1,1
5,3,0,2,0.6395473066171982,0.27885874327434773,0.6983716446726376,0.14650269106665126,0.13728916704566343,0.8192602425610933,0.28766809136420757,0,0,1,1,1
5,2,1,2,0.8181069247439561,0.060488196014323356,0.29819356571942274,0.0664265797930993,0.3443724160694147,0.79955916620886,0.20461308495382385,1,1,1,1,1
4,3,1,2,0.749640617672735,0.16193431857438992,0.4632468052330035,0.10774862709061256,0.20660873554551878,0.7174446330604506,0.2063714959376348,0,0,1,1,1
4,4,0,1,0.5557088290653549,0.2382075567810888,0.5720436535571082,0.10334610919763215,0.3681677749152873,0.8365791633673593,0.13033497594655025,1,0,1,0,1
3,3,1,0,0.8507062547046997,0.10262452461477224,0.6927543828032078,0.06106317369552072,0.35393568752035554,0.6382465986995947,0.17945745811207345,1,0,0,1,1
3,4,0,2,0.77757937778684,0.16281733300427884,0.3510794353441717,0.08456959935039195,0.15447931504042772,0.8725351684000886,0.21667835895322407,1,0,1,0,1
2,3,1,0,0.6024062127414649,0.21782867581872023,0.555777743155293,0.06022126642251996,0.37562515667822405,0.8370253911372261,0.10460452095752751,1,1,1,0,1
4,2,1,0,0.8702274051627106,0.13525181142123963,0.2679428275044532,0.14848411989623345,0.35166942593378026,0.6373988043609801,0.2841683765234745,1,0,1,0,1
2,2,0,1,0.8211413794392046,0.0013896069013808576,0.40009950301468655,0.08981686935909433,0.2612186808813769,0.8759566849238282,0.16926919887319225,1,1,1,0,1
5,4,0,1,0.5705547946024894,0.14951033182184392,0.45135526970272877,0.14148459010681,0.20871816973498997,0.7741765050834131,0.22645285758390607,0,0,0,1,1
2,3,1,2,0.8987497007383789,0.15065850309937276,0.5572310103920264,0.05670764773884275,0.3249881411197534,0.6629716779286757,0.27961085788814277,1,0,0,1,1
5,4,1,0,0.8102110466780043,0.13598665042440827,0.5146341615965481,0.09407627469382282,0.22022891826259783,0.7678920993924654,0.1310480491861425,0,1,1,0,1
3,4,1,1,0.6634936684392385,0.007615906698103458,0.2936915584197142,0.12159722288473974,0.29767718257304543,0.608128797751045,0.1443944323865899,1,0,0,0,1
4,2,0,2,0.7610984431407499,0.07145483431401796,0.2596648356556071,0.0743172190999454,0.31668007955669775,0.8567089404318857,0.2660439729133983,1,0,0,0,1
5,3,0,1,0.5342034123417873,0.062365876543808194,0.21591932232429184,0.06814354350897973,0.27491246829090765,0.7264273651777494,0.27853434221539497,1,0,0,0,1
4,4,1,0,0.6380768579525102,0.23215035696040207,0.4176547367995673,0.13610680199747216,0.16585315752428764,0.8923641795596611,0.25595175495760614,0,0,1,1,1
5,2,1,2,0.7049830623527686,0.22250608326859966,0.6193075118965428,0.09025500435969805,0.16540693224822595,0.7935162503307989,0.18434078691065636,0,1,1,1,1
3,3,1,0,0.8260217713609829,0.14942722605330172,0.24030523994942607,0.09052480880276888,0.2492394681939672,0.8160607744896887,0.12131574602573487,0,0,0,1,1
3,2,0,0,0.5701485114493798,0.27432358377748794,0.45126231493524394,0.08831385282494975,0.2556753115848513,0.6140897900325165,0.1332566737512159,1,0,1,0,1
2,4,1,2,0.6422690865859797,0.21571377155527363,0.37827302937390506,0.10664046402968971,0.24281512065972993,0.7991013496087944,0.2873659478649516,1,0,0,0,1
4,4,0,1,0.8820945250893917,0.046401642264970865,0.5739995305429946,0.09742373087003696,0.20331511961326998,0.7054620483402656,0.18255871012135044,1,0,1,0,1
3,2,1,2,0.6088580548919851,0.17706920006072613,0.41658433816401613,0.059158207332663415,0.3751940726386729,0.6410455892756884,0.2900474707641605,1,0,1,1,1
5,4,0,0,0.7635133466842869,0.20768296935535574,0.7095173909391916,0.07496680088591859,0.24682748909294216,0.6663628325458807,0.2975336015993294,1,0,1,1,1
4,3,0,1,0.8661953190352167,0.010183793575739652,0.618452160348104,0.07973490073725507,0.3773188586129592,0.8913174735496103,0.28885329782268676,1,1,1,0,1
3,4,0,1,0.7385079513928212,0.06900265118631091,0.2723401314663673,0.05769532016292092,0.30888663276344197,0.7019624891304198,0.2449533543057523,0,0,1,1,1
2,2,1,0,0.8543910992944749,0.18475895645469137,0.3397756848521803,0.0524400781556538,0.361029662170279,0.6063808232551161,0.27494033453683986,1,1,1,1,1
5,2,1,0,0.6607723654436969,0.14396268609117266,0.5765032779310222,0.13736771141863385,0.3952250407597886,0.8304820241593555,0.18355335643346676,1,1,0,0,1
3,3,1,1,0.593443100419964,0.012627956890908565,0.2107243608400483,0.14877223897360314,0.22833194012075872,0.7152979941479045,0.23592945653861397,1,1,1,0,1
3,4,1,2,0.8778928089165641,0.14022045337496092,0.5680468335264247,0.06670339460920752,0.397350587841093,0.669501510415033,0.2885463548270251,1,0,1,0,1
3,2,1,0,0.5745753048577018,0.23387534207002597,0.4100751555000381,0.05578426765633964,0.39073078904224345,0.8651357654890277,0.28555045663904255,1,0,1,1,1
3,2,1,2,0.8263332499962471,0.0673321715509982,0.3342905688935739,0.10369744228934136,0.277881980452511,0.7740258623513434,0.11829736747955098,1,0,0,1,1
2,3,1,1,0.8238064298899512,0.1965725941917065,0.5305144223654836,0.058698675991141015,0.22253596392120964,0.7118065551036942,0.15195075675206524,1,0,0,0,1
2,2,0,0,0.524606810495694,0.26487188074123835,0.50964741226617,0.14065137194445798,0.27139568257587227,0.7986336030319694,0.20875578159947983,1,1,1,1,1
5,2,0,2,0.5641600421320289,0.10020266362357136,0.34321401878061053,0.14300903505097384,0.1317502281485752,0.8096972214118763,0.13784430795700117,1,1,1,1,1
